epoch,avg training loss,avg validation loss,avg training mae,avg validation mae
338,tensor(0.0069),0.04442671583494324,tensor(0.0683),tensor(0.1747)
339,tensor(0.0032),0.04261293117290341,tensor(0.0472),tensor(0.1705)
340,tensor(0.0031),0.043818744587991024,tensor(0.0460),tensor(0.1746)
341,tensor(0.0031),0.05049333991011757,tensor(0.0464),tensor(0.1905)
342,tensor(0.0047),0.04231872215345212,tensor(0.0579),tensor(0.1700)
343,tensor(0.0047),0.04758805642448047,tensor(0.0556),tensor(0.1824)
344,tensor(0.0050),0.04015545477431108,tensor(0.0576),tensor(0.1662)
345,tensor(0.0060),0.047470299447324955,tensor(0.0638),tensor(0.1841)
346,tensor(0.0074),0.04920871265174582,tensor(0.0717),tensor(0.1876)
347,tensor(0.0110),0.040024605967423334,tensor(0.0856),tensor(0.1646)
348,tensor(0.0083),0.05532863378118912,tensor(0.0726),tensor(0.1990)
349,tensor(0.0049),0.04603170977492277,tensor(0.0588),tensor(0.1808)
350,tensor(0.0049),0.049756853192580816,tensor(0.0551),tensor(0.1902)
351,tensor(0.0042),0.046240584395738894,tensor(0.0537),tensor(0.1831)
352,tensor(0.0037),0.04921201684653527,tensor(0.0485),tensor(0.1883)
353,tensor(0.0088),0.05154743490573961,tensor(0.0766),tensor(0.1897)
